Question,A,B,C,D,Answer
Generalized bluing of the skin and oral mucosa is suggestive of _________.,Polycythemia vera,Carbon monoxide poisoning,Central cyanosis,Peripheral cyanosis,Central cyanosis
"If a patient demonstrates a puffy face, edematous eyelids, thickening of the tongue and lips, with coarse dry skin.  What is suspected?",Cretinism,Myxedema,Acromegaly,Bell palsy,Myxedema
Which of these is an abnormal finding on the funduscopic examination?,Four arteries and four veins in each quadrant,The macula is two disc diameters away from the disc,The arteries reflect light,The disc is a creamy orange color,Four arteries and four veins in each quadrant
Presence of the uvular reflex indicates patency of which nerves?,Vagus and Hypoglossal,Glossopharyngeal and Vagus,Glossopharyngeal and Hypoglossal,Trigeminal and Vagus,Glossopharyngeal and Vagus
Which of these is most likely to cause neck pain?,Pancoast tumor,Cholecystitis,Peptic ulcer,Endometriosis,Pancoast tumor
Which of these is a cause of malar flush?,Tachycardia,Mitral stenosis,Acute prostatitis,Myocardial infarction,Mitral stenosis
Which of these describes the accommodation reflex?,The body’s ability to accommodate to ambient temperature change,Ability of the pupil and lens to change focus for near vision,The protective response of pupillary contraction to bright light,Dampening of sound in the middle ear in loud environments,Ability of the pupil and lens to change focus for near vision
Which of these funduscopic exam findings is consistent with essential hypertension?,Macular degeneration,Flame shaped hemorrhages,Optic neuritis,Macular microaneurysms,Flame shaped hemorrhages
Which of these signs is revealed in the Plummer-Vinson syndrome?,Hyperchromic anemia,Pinguicula,Glossitis,Nasopharyngitis,Glossitis
Which of these causes a red flushing of the face?,Hemolytic anemia,Polycythemia vera,Diabetes insipidous,Pernicious anemia,Polycythemia vera
What is the origin of small yellow spots in the mouth of an adult?,Ulcer,Sebaceous glands,Measles,Iron deficiency,Sebaceous glands
Which of these tests is best suited to compare the duration of bone conduction and air conduction?,Rinne test,Schwabach test,Weber test,Romberg test,Rinne test
"Myopia is a common error of refraction.  In this condition, where does the visual image come into focus?",Behind the retina,On the optic disc,In front of the retina,In the optic cup,In front of the retina
"Upon otoscopic examination the eardrum is pearly gray, but the external canal is red.  What is suggested by these findings?",Eustachian tube blockage,Otitis media,External ear infection,Hemorrhage,External ear infection
Which is the term for collagen degeneration forming a yellow deposit on the conjunctiva?,Chalazion,Pinguecula,Exophthalmos,Entropion,Pinguecula
Papilledema is suggestive of which condition?,Increased intra-cranial pressure,Decreased intra-ocular pressure,Increased intra-ocular pressure,Decreased intra-cranial pressure,Increased intra-cranial pressure
"A male patient presenting with cherry red cheeks, lips, mouth, and tongue is most consistent with _________.",Iron deficiency,Pulmonary edema,Carbon monoxide poisoning,Lupus erythematosis,Carbon monoxide poisoning
"Intense headache with papilledema and vomiting, made worse on exertion is a cardinal sign of which condition?",Cervical migraine,Brain tumor,Pituitary dyskinesia,Atlas fracture,Brain tumor
Which deformity results from non-segmentation of multiple cervical segments?,Basilar invagination,Spinal dysraphism,Klippel Feil,Platybasia,Klippel Feil
"Acromegaly is characterized by enlargement of the skull, jaws, hands, and feet.  What is the cause of acromegaly?",Excessive anterior pituitary hormone secretion,Deficiency in anterior pituitary output,Excessive adrenal secretion,Hyperthyroidism,Excessive anterior pituitary hormone secretion
"What skin condition is usually restricted to the face, upper arms, and back?",Psoriasis,Eczema,Tinea corporis,Acne,Acne
Which of these is the most common finding in acute otitis media?,Vertigo beginning 5 seconds after motion stops,Loss of the light reflex,Edema of the external canal,Pain on tugging of the auricle,Loss of the light reflex
A patient presents with swelling of the supraclavicular lymph nodes.  What is the most best test to verify the diagnosis?,Liver biopsy,Lymph node biopsy,Upper GI series,Colonoscopy,Upper GI series
Von Graefe (lid lag) sign is an indication of ________.,Acromegaly,Cranial nerve VI lesion,Grave disease,Addison disease,Grave disease
,,,,,
Quiz #3,,,,,
Which of these is a clinical feature of Grave disease?,Facial edema,Tachycardia,Exophthalmos,Thyroid atrophy,Exophthalmos
"During an acceleration injury of the cervical spine, which ligament is most likely to be injured?",The posterior longitudinal ligament,The anterior longitudinal ligament,The cruciate ligament,The supraspinous ligamen,The anterior longitudinal ligament
Which of these arteries should not be compressed bilaterally?,The subclavian,The subclavian,The femoral,The carotid,The carotid
"During examination of the neck, the patient demonstrates a swelling which ascends when the tongue is protruded.  Which structure is the most likely cause of the swelling?",The lymph nodes,The stylohyoid muscles,The submaxillary glands,The thyroid gland,The thyroid gland
Which is the term for a lower eyelid turned outward?,Pinguecula,Exophthalmos,Ectropion,Chalazion,Ectropion
Syringomyelia is associated with which finding?,Tremor in the affected muscles,Loss of pain sensation at the affected level,Loss of light touch sensation,Dry pale skin in the affected area,Loss of pain sensation at the affected level
"Otosclerosis, a common form of conductive deafness, is caused by which means?",Labyrnthine disorder,Chronic otitis externa,Adherence of the stapes to the oval window,Atresia of the eustachian tube,Adherence of the stapes to the oval window
Which of these is the term for opacity of the lens of the eye?,Hypermetropia,Cataract,Glaucoma,Astigmatism,Cataract
Which of these is true of the Argyll-Robertson pupil?,It is caused by neurosyphilis,It does not have an accommodation reaction,It cannot constrict,It reacts briskly to light,It is caused by neurosyphilis
The cephalad portion of the thyroid cartilage is palpable at which vertebral level?,C6,C4,T1,C2,C4
"In the diagnosis of a patient with cataracts, which part of the examination would be most beneficial?",Confrontation testing,Accommodation reflex,Pupillary light reflexes,Ophthalmoscopic examination,Ophthalmoscopic examination
"Inspection of the ear demonstrates shortening of the malleus, no evidence of fluid level, the cone of light is prominent but distorted, and the tympanic membrane is gray and lusterless.  Which diagnosis is most likely?",Purulent otitis media,Serous otitis media,Bullous myringitis,Eustachian blockage,Eustachian blockage
"A patient exhibits a large, smooth goiter with exopthalmos.  Which of these exam findings would be consistent with this presentation?",Thickened tongue with hoarseness,Weight gain,Hyperreflexia,Loss of the outer third of the eyebrows,Hyperreflexia
"Which of these is suggested by a hard, non-movable left supraclavicular lymph node enlargement?",Multiple sclerosis,Gastric carcinoma,Mononucleosis,Tuberculosis,Gastric carcinoma
"What is the term for rapid, involuntary oscillation of the eyeball?",Esotropia,Exophthalmos,Strabismus,Nystagmus,Nystagmus
Which of these signs from the otoscopic exam corresponds to bacterial otitis media?,Amber fluid with bubbles behind the tympanic membrane,"Fiery red, bulging tympanic membrane",Firm tympanic membrane with distortion of the cone of light,Pearly gray tympanic membrane with obstruction of the ossicles,"Fiery red, bulging tympanic membrane"
"During Weber test, which is a positive result?","Hearing is better in the ear, which lacks bone conduction",Hearing sound better on the side of nerve injury,Hearing sound better in the open ear,"Hearing better in the ear, which lacks air conduction","Hearing better in the ear, which lacks air conduction"
Atlanto-occipital fusion is often found in association with _______.,Klippel Feil syndrome,Posterior ponticus,Platybasia,Spina bifida,Platybasia
Which of these describes a retinal detachment?,Separation of the retina from the sclera,The retina separarting into several pieces,Drying and cracking of the retina,Detachment of the retina from the choroid layer,Detachment of the retina from the choroid layer
DeMussette sign is _________and is associated with _________.,"Fine, thin hair and bulging eyes, hyperthyroidism","Mask like rash or pigmentation, pregnancy or SLE","Bruising at the mastoid process, skull fracture","Bobbing of the head, tremor or aortic insufficiency","Bobbing of the head, tremor or aortic insufficiency"
"During lymph node palpation, which finding is the most clinically significant?",Hard nodes,Small nodes,Mobile nodes,Soft nodes,Hard nodes
Which of these is the most common finding of bacterial pneumonia?,Fever,Hypotension,Hypothyroidism,Bradycardia,Fever
Which statement describes asthmatic breathing?,Expiration phase shorter than inspiration,Expiration phase is variable and inconsistent,Expiration phase longer than inspiration,Expiration phase equal to inspiration,Expiration phase longer than inspiration
Which of these results in a systolic murmur?,Tricuspid stenosis,Aortic stenosis,Pulmonary regurgitation,Mitral stenosis,Aortic stenosis
What is the term for a vibration felt by the examiner during palpation of the thorax?,Stridor,Crepitus,Fremitus,Rattles,Fremitus
Which of these is indicated by a loud brassy cough?,Consolidation of the lung,Longstanding bronchitis,Tracheal or large airway obstruction,Left sided heart failure,Tracheal or large airway obstruction
Acute bacterial endocarditis is commonly caused by ________ infection.,Staphylococcal,Gonococcal,Pneumococcal,Streptococcal,Streptococcal
"During auscultation of the heart, the tricuspid valve is auscultated at the ________.",Right second intercostal space,Left fifth intercostal space,Left second intercostal space,Left fourth intercostal space,Left fourth intercostal space
Orthopnea is most commonly seen with which condition?,Left sided heart failure,Angina pectoris,Reflux esopagitis,Emphysema,Left sided heart failure
Which of these is the most common lung condition to cause cyanosis?,Pulmonary arteriovenous fistula,Superior vena cava syndrome,1º mediastinal tumor,Chronic bronchitis,Chronic bronchitis
Which of these would predispose a patient to pneumothorax?,Thrombophlebitis,Chronic bronchitis,Obesity,Hypertension,Obesity
Which of these is the most likely cause of stabbing chest pain in a young individual after mild exercise?,Asthma,Rib fracture,Pleurisy,Pneumothorax,Pneumothorax
Which of these is not typical of angina pectoris?,Chest pain radiating into the arm and jaw,Crushing pressure in chest,"Sharp, stabbing pain at the apex of the heart",Chest pain lasting 3-5 minutes,"Sharp, stabbing pain at the apex of the heart"
Which of these cardiac murmurs is most commonly accentuated during inspiration?,Aortic regurgitation,Mitral stenosis,Tricuspid stenosis,Mitral regurgitation,Tricuspid stenosis
Which of these sources of abnormal heart sounds does not produce a sound classified as a murmur?,Tricuspid stenosis,Mitral regurgitation,Pericardial friction rub,Aortic stenosis,Pericardial friction rub
Which of these cardiac murmurs is commonly accentuated during inspiration?,Tricuspid stenosis,Mitral stenosis,Mitral regurgitation,Aortic regurgitation,Tricuspid stenosis
Which of these does not apply to a functional heart murmur?,Almost always systolic,Inconsistent,Soft and blowing,Almost always diastolic,Almost always diastolic
What is the first sign of mitral stenosis?,Edema,Dyspnea,Chest pain,Cough,Dyspnea
Which term refers to a condition in which a portion of the lung remains uninflated?,Atelectasis,Asthma,Bronchophony,Emphysema,Atelectasis
Oliver sign is positive in cases of _______.,Endocarditis,Aortic aneurysm,Atelectasis,Pneumothorax,Aortic aneurysm
Acute cor pulmonale is usually the result of _________.,Tuberculosis,Angina pectoris,Pulmonary embolism,Aortic dissection,Pulmonary embolism
Which of these valve lesions produces a diastolic murmur?,Pulmonic stenosis,Aortic stenosis,Mitral insufficiency,Aortic insufficiency,Mitral insufficiency
"Atelectasis, wheezing, and enlargement of the supraclavicular lymph nodes are characteristics of __________.",Acute bronchitis,Chronic obstructive pulmonary disease,Asthma,Bronchogenic carcinoma,Bronchogenic carcinoma
"During auscultation of breath sounds at the first and second intercostal spaces anteriorly, and at the interscapular region, the sounds are __________.",Bronchial,Tracheal,Broncho-vesicular,Vesicular,Broncho-vesicular
What is shown of the electrocardiogram in a patient with the tetralogy of Fallot?,Left axis deviation,Intraventricular conduction deficit,Right atrial enlargement,Right ventricular hypertrophy,Right ventricular hypertrophy
Which of these lesions causes a diastolic murmur?,Aortic insufficiency,Aortic stenosis,Mitral insufficiency,Pulmonic stenosis,Mitral insufficiency
Which of these is associated with mitral stenosis?,Arterial embolism,Bacterial endocarditis,Atrial fibrillation,Pulmonary embolism,Bacterial endocarditis
What is the most common cause of left ventricular hypertrophy?,Pulmonary hypertension,Systemic hypertension,Aortic stenosis,Mitral stenosis,Systemic hypertension
Bronchial breath sounds heard over the right lung base is indicative of which of these options?,Emphysema,Bronchial asthma,Consolidation of the right lung base,Normal right lower lobe,Consolidation of the right lung base
Mild ischemia of the myocardium with pectoral pain could indicate which condition?,Cardiac tamponade,Pericarditis,Angina pectoris,Pleural adhesion,Angina pectoris
"uring thorax auscultation, what sounds are heard in the periphery?",Moist rales,Vesicular,Bronchial,Bronchovesicular,Vesicular
Which of these has an irregular cardiac rhythm?,Atrial fibrillation,Mitral insufficiency,Pulmonic stenosis,Aortic stenosis,Mitral insufficiency
"What is Kussmal breathing, and with which condition is it associated?","Difficulty on expiration, with pulmonary obstruction","Rapid, deep, and labored breathing, with metabolic acidosis","Decreased respiratoion rate, with electrolyte imbalance","Respiration rate over 20 per minute, with anxiety","Rapid, deep, and labored breathing, with metabolic acidosis"
Which is the most common sequella to atrial fibrillation?,Aortic stenosis,Aortic aneurysm,Mitral prolapse,Cerebrovascular accident,Cerebrovascular accident
"An asymptomatic patient exhibits a systolic murmur.  The murmur is localized to the third intercostal space on the left, it is of medium pitch, and it diminishes while upright and increases while supine.  Which of these is the most likely cause?",Aortic regurgitation,Patent ductus arteriosus,Aortic stenosis,An innocent murmur,An innocent murmur
Which of these causes a rise in jugular venous pressure?,Pulmonary embolism,Increased intrapleural pressure,Decreased cardiac output,Mitral prolapse,Decreased cardiac output
Tracheitis may be due to spread of infection from ________.,Ileitis,Esophagitis,Lymphadenitis,Pharyngitis,Pharyngitis
Which of these describes normal breath sounds heard at the periphery of the lungs?,Inspiration equal to expiration,Louder and longer on inspiration,Heard on inspiration only,Louder and longer on expiration,Louder and longer on inspiration
"During auscultation of the heart, the pulmonic area is located at the ________.",Left fourth intercostal space,Left fifth intercostal space,Left second intercostal space,Right second intercostal space,Left second intercostal space
"Asking the patient to breathe in deeply and percuss downward to sounds of dullness, and comparing location to when the patient is fully expired is called _______.",Tidal volume,Diaphragmatic excursion,Respiratory excursion,Pectoriloquy,Diaphragmatic excursion
Moist rales (moist crackles) are heard in conjunction with which condition?,Lobar pneumonia,Cardiac failure,Bronchitis,Tuberculosis,Bronchitis
Which of these is a sign of pneumothorax?,Hyper resonant percussion sounds,Increased pectoriloquy,Increased vocal fremitus,Increased chest excursion,Hyper resonant percussion sounds
What is recorded in an EKG?,Voltage change in the heart over time,The vibrations of the pericardial sac,Heart rate and amplitude of contraction,Variation in pulse pressure within the chambers of the heart,Voltage change in the heart over time
Which of these produces irregular cardiac rhythm?,Sinus tachycardia,Ventricular tachycardia,Atrial fibrillation,Complete heart block,Atrial fibrillation
Which of these is not a cause of coronary heart disease?,Chronic bronchitis,Smoking,Hypercholesterolemia,Obesity,Chronic bronchitis
Normal respiratory excursion of the lower thorax is __________.,2 to 2.5 inches,Less than 1 inch,3 to 4 inches,Greater than 5 inches,2 to 2.5 inches
Which of these is a classic sign of mitral regurgitation?,S-2 splitting,Systolic murmur,Gallop murmur,Diastolic click,Systolic murmur
Which of these describes the murmur associated with coarctation of the aorta?,Continuous,Diastolic,Systolic,Variable,Systolic
What is the pause between the QRS complex and the next wave form?,P wave,T wave,QS wave,ST segment,ST segment
"What is the likely cause of a murmur described as blowing in systole, and may be transmitted to the left axilla and lung bases?",Mitral regurgitation,Aortic stenosis,Tricuspid stenosis,Mitral stenosis,Mitral regurgitation
Pain referral to McBurney’s point indicates _______.,Pancreatitits,Cholecystitis,Diverticulitis,Acute appendicitis,Acute appendicitis
Dilation of the superficial veins radiating toward the chest from the umbilicus is called _______.,Melasma,Caput Medusa,Kayser Fleisher rings,Chloasma,Caput Medusa
What is the technique to differentiate a superficial abdominal mass from a deep one?,Level of pain,Increasing pressure on palpation,Instructing the patient to contract the abdominal muscles,Asking the patient to exhale fully on palpation,Instructing the patient to contract the abdominal muscles
"Colicky pain, vomiting, and bloody stool (red currant jelly stool) is seen in which acute abdominal condition affecting infants?",Intussusception,Testicular torsion,Acute gastroenteritis,Appendicitis,Intussusception
Which age group is most likely to experience cholecystitis and cholelithiasis?,Parous middle aged females,Males with diets high in saturated fats,Nulliparous middle aged females,Diet-conscious females ingesting large amounts of cyclamates,Parous middle aged females
Which of these is suggested by distention of the abdomen with absent bowel sounds?,Ascites,Aortic aneurysm,Appendicitis,Pancreatitis,Ascites
What is suspected if auscultation of the abdomen reveals a bruit?,Disorder of the aorta,Enlarged heart,Pulmonary regurgitation,Mitral stenosis,Disorder of the aorta
Pain in the right hypochondrium with congestive heart failure suggests disease of the ________.,Intercostal nerves,Liver,Spleen,Diaphragm,Liver
Clay colored stool is indicative of which of these conditions?,Biliary obstruction,Duodenal ulcers,Pancreatic disorders,Colonic disorders,Biliary obstruction
Abdominal pain exacerbated by lying recumbent is caused by _______.,Duodenal ulcer,Pancreatitis,Urethritis,Intervertebral disc prolapse,Pancreatitis
Visible peristalsis is most likely accompanied by which examination finding?,Excessive dullness to percussion over the spleen,Prominent pulsations over the abdominal aorta,Hyperactive bowel sounds,,Hyperactive bowel sounds
What is indicated by Grey Turner sign?,Abdominal bleeding,Hepatomegaly,Splenomegaly,Ascites,Abdominal bleeding
Which organ will refer pain to the periumbilical area when diseased?,Pancreas,Bladder,Liver,Small intestine,Small intestine
Which of these is a cause of ascites?,Cirrhosis,Cholecystitis,Pyogenic peritonitis,Pancreatitis,Cirrhosis
"Under normal conditions, what is the proper procedure to palpate the gall bladder?",The gall bladder is unpalpable under normal conditions,Deep palpation in the mid clavicular line under the lower ribs on the left,With fingers hooked around the rib cage from above on full inspiration,Deep palpation in the mid clavicular line on the right with a fist under the patient,The gall bladder is unpalpable under normal conditions
"Cutaneous angiomas, spider nevi, are often found with which condition?",Heart failure,Kidney disease,Gall bladder disease,Liver disease,Liver disease
Umbilical protrusion with tenseness of the abdominal wall indicates which of these?,Ascites,Hyperperistalosis,Hernia,Cancer,Ascites
In steatorrhea due to pancreatic cystic fibrosis which of these will be found?,Increased lipase level,Signs of vitamin B12 deficiency,High content of unsplit fat in the stool,High content of split fat in the stool,High content of unsplit fat in the stool
Hematemesis and melena are signs of which condition?,Gastric cancer,Bronchogenic carcinoma,Heart failure,Liver cancer,Gastric cancer
What is the cause of jaundice in patients with acute pancreatitis?,Common bile duct stone,Hepatitis and cirrhosis,Carcinoma of the ampule of Vater,Compression of the bile duct by the pancreatic head,Compression of the bile duct by the pancreatic head
,,,,,
Quiz #4,,,,,
Pain in the lower left quadrant is likely to indicate which of these conditions?,Appendicitis,Gastric ulcer,Cholecystitis,Diverticulitis,Diverticulitis
Which of these is a characteristic complaint of a patient suspected of having a hiatal hernia?,Blood in the stool,Gastric reflux when recumbent,Voracious appetite,A palpable mass in the gastrium,Gastric reflux when recumbent
"Following a large weight gain in pregnancy, where are the silver striae typically present?",In the midaxillary line of the entire abdomen,In the lower quadrants of the abdomen,In the upper quadrants of the abdomen,In the midclavicular line of the entire abdomen,In the lower quadrants of the abdomen
What is indicated by caput medusae?,Acute pancreatitis,Ascites,Portal hypertension,Hepatomegaly,Portal hypertension
What is the term for yellowish discoloration of the skin?,Jaundice,Petechia,Ecchymosis,Erythema,Jaundice
Which of these describes Murphy sign?,Right lower quadrant pain when palpation of the left is performed,Pain on inspiration during deep palpation of the gall bladder,Pain over the stomach when palpating McBurney’s point,Rebound tenderness in the lower left quadrant,Pain on inspiration during deep palpation of the gall bladder
Which is the most common hernia found in females?,Indirect hernia,Spigellian hernia,Femoral hernia,Direct hernia,Femoral hernia
What is the cause of Hirschprung disease?,Excess of Nageotte cells,Absence of the submucosal plexus of Meisner,Excess of Virchow cells,Absence of the myenteric plexus of Auerbach,Absence of the myenteric plexus of Auerbach
What is the term for protrusion through a weak spot in the abdominal wall?,Cystitis,Volvulus,Hernia,Intestinal strangulation,Hernia
What is the cause of biliary dyskinesia?,Abnormal size and shape of the gall bladder,Impaired action of the sphincter of Odi,Blockage of the cystic duct,Severe pain in the gall bladder region,Impaired action of the sphincter of Odi
An inguinal hernia is most likely to be palpable at which location?,Sciatic notch,Greater trochanter,Iliac crest,Femoral triangle,Femoral triangle
What is the cause of pruritis in jaundiced patients?,Cerebral bile absorption,Excess cholesterol,Tissue histamine,Conjugated bile acids,Conjugated bile acids
What is the definition of ascites?,Peritonsillar infection,A variety of roundworm,Abdominal obesity,Fluid in the abdomen,Fluid in the abdomen
Which physical exam procedure is suggestive of cholecystitis?,Koplik sign,Minor sign,Babinski sign,Murphy sign,Murphy sign
What is indicated by ascites with increased serum amylase and lipase?,Polymyositis,Obstructive bowel disease,Pancreatitis,Peritonitis,Pancreatitis
Where is the abdominal aorta palpated relative to the umbilicus?,Above and to the left,"At the same level, to the right",Above and to the right,Below and to the left,Above and to the left
"Which of these history findings is common to diseases of the stomach, gall bladder, and appendix?",The pain always eventually localizes to the right lower quadrant,There is jaundice with all problems,Associated increase in urinary frequency,Pain beginning in the epigastric region,Pain beginning in the epigastric region
Diverticolsis is most likely to occur at which location?,The ascending colon,The rectum,The cecum,The sigmoid colon,The sigmoid colon
"Excessive dietary fat increases the risk of breast, colon, and ______ cancer.",Liver,Lung,Brain,Prostate,Liver
Which of these is contained in the right upper quadrant of the abdomen?,The liver,The spleen,The pancreas,The stomach,The liver
Which of these is contained in the left upper quadrant of the abdomen?,The ascending colon,The pancreas,The liver,The gall bladder,The pancreas
Where is McBurney’s point located?,In the upper right quadrant,In the lower left quadrant,In the upper left quadrant,In the lower right quadrant,In the lower right quadrant
What is the normal vertical height of the liver in the midclavicular line?,10-15 centimeters,4-8 centimeters,6-8 centimeters,8-10 centimeters,4-8 centimeters
What is the cause of abdominal angina?,Pancreatitis,Referred pain from the heart,Thrombosis of the superior mesenteric artery,Biliary colic,Thrombosis of the superior mesenteric artery
Which of these conditions is the most common complication of Meckel diverticulum in a child?,Enteritis,Appendicitis,Peptic ulceration,Intususseption,Intususseption
Which of these conditions may predispose a patient to splenic rupture?,Mononucleosis,Tonsilitis,Nephrolithiasis,Appendicitis,Mononucleosis
Which of these will not result in hyperactive bowel sounds?,Gastroenteritis,Early obstruction,Diarrhea,Peritonitis,Peritonitis
What is likely indicated by Cullen sign?,Hepatomegaly,Portal hypertension,Ascites,Acute pancreatitis,Acute pancreatitis
Which position will likely relieve pain caused by acute pancreatitis?,No position relieves the pain,Lying prone,Supine with the knees bent,Side lying with knees tucked to the chest,Side lying with knees tucked to the chest
Which of these describes Meckel diverticulum?,A laryngeal ventricle,A congenital small pouch of the ileum,A localized extrusion of the sigmoid colon,An embryonic remnant on the fundus of the uterus,A congenital small pouch of the ileum
A sentinel pile is likely to be associated with _________.,Crypto-pallitis,Internal hemorrhoids,Anal fissure,External hemorrhoids,Internal hemorrhoids
"Which condition, when infection is present, presents like a gluteal strain (tailbone tenderness with sitting, or exercise), but with a small draining abscess?",Anal fissure,Pilonidal cyst,Anorectal fistula,Hemorrhoid,Pilonidal cyst
Which of these is the term for painful spasm at the termination of urination?,Tenesmus,Pollakuria,Strangury,Dysuria,Strangury
Which of these is characteristic of a non-malignant breast tumor?,Freely moveable,Non-tender,Singular and irregularly shaped,Hard and firm,Freely moveable
Retraction of the nipple with a hard mass is most consistent with which diagnosis?,Blocked milk duct,Mastitis,Fibrocystic disease,Breast cancer,Breast cancer
Which of these is not characteristic of chronic urethritis in women?,White blood cells in the urine specimen,Pain while walking,Red blood cells in the urine specimen,Burning upon urination,Red blood cells in the urine specimen
Which of these is suggested by pain following urination?,Kidney infection,Ureter obstruction,Prostate hyperplasia,Bladder infection,Bladder infection
The term balanitis refers to inflammation of the ______.,Head of the penis,Spleen,Urinary bladder,Gall bladder,Head of the penis
"Pain, swelling and redness of the breast is suggestive of __________.",Breast cancer,Breast ptosis,Fibrocystic disease,Mastitis,Mastitis
Which of these conditions presents with symptoms resembling those of acute prostatitis?,Carcinoma of the prostate,Urinary tract infection,Renal calculi,Stomach carcinoma,Urinary tract infection
Which of these gastrointestinal disorders is most likely to cause kidney stones?,Irritable bowel syndrome,Ulcerative colitis,Ulcerative colitis,Duodenal ulcer,Ulcerative colitis
A retrouterine fibroid displacing the uterus will likely refer pain to which location?,The sacrum,The thoracolumbar unction,The lumbosacral joint,The mid lumbar region,The thoracolumbar unction
Which of these gives a positive Murphy’s punch test?,Renal infection or inflammation,Urethral obstruction,Aortic aneurysm,Cholecystitis,Renal infection or inflammation
Which of these conditions may be confused with thoracolumbar strain?,Peptic ulcer,Renal calculi,Cholecystitis,Cystitis,Renal calculi
"In a female, extra mammary glandular tissue with or without an associated nipple is called ______.",Polyuria,Polymelia,Polymastia,Polythelia,Polymastia
The palpation of prostatic calculi may be confused with which of these?,Carcinoma of the prostate,Polyposis prostati,Posterior urethritis,Seminal vesiculitis,Carcinoma of the prostate
What is the most common means of prostate metastasis?,The paravertebral veins of Batsen,The lymphatic system,Via the pulmonary circuit,Cerebrospinal fluid,The paravertebral veins of Batsen
To which area does renal colic refer pain?,McBurney’s point,The legs,The umbilical region,The groin,The groin
In which location do teratomas usually occur?,The vagina,The uterus,The kidney,The ovary,The ovary
Which of these describes Cullen sign noted during examination of a gravid (pregnant) patient?,Darkened mastoid process,Red blotches on the flanks,Blue appearance around the umbilicus,Blue tinge to the whole abdomen,Blue appearance around the umbilicus
Which of these is not consistent with a testicular mass?,Most are malignant,They are non tender masses attached to the testes,Most occur in males 15-30 years old,Most are benign,Most are benign
Hunner ulcer is a disease of inflammation of the ____.,Ureter,Clitoris,Urethra,Bladder,Bladder
Which of these is the palpatory finding of chronic prostatitis?,Hard and irregular,Fibrous with scattered areas of hardness,"Slightly enlarged, boggy, and non-tender","Enlarged, soft, boggy, and tender",Hard and irregular
The term salpingitis refers to inflammation of the ______.,Urinary bladder,Fallopian tube,Gall bladder,Spleen,Fallopian tube
"A urethral carbuncle, a benign, red, afebrile, vascular tumor of the external urethral meatus is most commonly seen in which group?",Prepubescent males,Premenopausal females,Postmenapausal females,Sexually active males and females,Postmenapausal females
What is the composition of most renal calculi (kidney stones)?,Dicalcium phosphate,Calcium oxylate,Calcium carbonate,Ammonium biurate,Calcium oxylate
"Which of these conditions may result from Addison disease, acute myocardial infarction, hemorrhage, or shock?",Hypertension,Aortic regurgitation,Atherosclerosis,Hypotension,Hypotension
Tenderness and a suprapubic mass is most indicative of which of these?,Renal vein thrombosis,Prostatic hypertrophy,Inguinal hernia,Cystitis,Cystitis
Bronze-like skin discoloration is characteristic of which disorder?,Addison disease,Liver cirrhosis,Hemophilia,Gall stone,Addison disease
Which of these signs is dangerous and cause for immediate referral?,Numbness of the lower extremity,Loss of bladder control,Pain in the lower extremity,Concentrated urine,Loss of bladder control
"A patient presents with the need to urinate 10-15 times per day, in small amounts, this is called _______.",Polydipsia,Urgency,Dysuria,Frequency,Frequency
"Scrotal examination reveals a nontender, transilluminating mass adjacent to the testis.  What is this finding called?",Acute orchitis,Acute epididymitis,Hydrocele,Testicular tumor,Hydrocele
What is the feeling of a healthy prostate gland to palpation?,Hard and stony,"Firm, smooth, and slightly moveable",Nodular and nonmoveable,Rubbery and boggy,"Firm, smooth, and slightly moveable"
Which of these describes paraphimosis?,Painful erection,A condition in which it is impossible to retract the foreskin,Lichen planus infection,A condition which prevents penile erection,A condition in which it is impossible to retract the foreskin
Which of these is not associated with renal calculi?,Pituitary tumor,Prolonged recumbency,Parathyroid tumor,Infection of the urinary tract,Pituitary tumor
What is the most common cause of cystitis in a female?,From a kidney infection,Lymphogenous spread from the cervix,Direct spread from the appendix,Ascent of bacteria through the urethra,Ascent of bacteria through the urethra
Gentle palpation of a varicocele has a feeling like that of a _____.,Golf ball,Bag of worms,Bag of marbles,Balloon filled with water,Bag of worms
Which of these is a component of nephritic syndrome (glomerulonephritis)?,Ketonuria,Proteinuria,Pyuria,Hemoglobinuria,Proteinuria
What is the most common causative agent of salpingitis?,Pyogenic cocci,Streptococci,Gonococci,Tubercle bacillus,Gonococci
"Which of these is characterized by fibrous lumps, or a “cobblestone” appearance of the breast?",Fibrocystic disease,Breast ptosis,Mastitis,Breast cancer,Fibrocystic disease
Which of these imaging studies can aid in the diagnosis of renal cysts?,Intravenous pyelogram,Plain film of the abdomen,Kidney urinary bladder KUB study,Retrograde pyelogram,Intravenous pyelogram
Gross hematuria is most likely due to which of these?,Glomerulonephritis,Pyelonephritis,Bladder tumor,Nephrotic syndrome,Glomerulonephritis
Spasmotic flank pain radiating to the groin with mild hematuria suggests which of these?,Nephrosclerosis,Acute cystitis,Uretal stone,Acute cholecystitis,Uretal stone
"In order to obtain deeper penetration during the rectal examination, the doctor should instruct the patient to _______.",Suspend breathing,Bear down,Flex forward,Extend backward,Bear down
"During digital exam the prostate is revealed to be firm, non tender, nodular, and four times normal size.  What is suspected?",Prostate cancer,Benign prostatic hypertrophy,Prostatic hyperplasia,Prostatits,Prostate cancer
